Tissue name,Tissue sample size,# Trios tested,# SNPs,# Genes,# M0,# M1,# M2,# M3,# M4,# Others,% M0,% M1,% M2,% M3,% M4,% Others,# M1 in GMAC (GTEx v6),# Trios tested in GMAC (GTEx v6)
Esophagus - Gastroesophageal Junction      ,330,7175,10179,56200,2457,112,36,4209,357,4,0.342439024,0.015609756,0.005017422,0.586620209,0.049756098,0.000557491,74,857
Esophagus - Mucosa                         ,497,10788,14159,56200,3547,127,47,6583,478,6,0.32879125,0.01177234,0.004356693,0.610215054,0.044308491,0.000556174,242,2640
Esophagus - Muscularis                     ,465,10223,13642,56200,3477,118,50,6123,449,6,0.340115426,0.0115426,0.004890932,0.598943559,0.043920571,0.000586912,230,2431
Heart - Atrial Appendage                   ,372,7687,10682,56200,2851,115,39,4313,360,9,0.370885911,0.014960323,0.005073501,0.561077143,0.046832314,0.001170808,103,1221
Heart - Left Ventricle                     ,386,6572,9392,56200,2430,98,22,3649,366,7,0.369750456,0.014911747,0.003347535,0.555234327,0.055690809,0.001065125,115,1290
Liver                                      ,208,3488,5553,56200,1478,88,13,1722,185,2,0.423738532,0.025229358,0.003727064,0.493692661,0.053038991,0.000573394,41,496
Lung                                       ,515,10235,13622,56200,3061,113,35,6514,507,5,0.299071812,0.011040547,0.003419638,0.636443576,0.049535906,0.00048852,323,2762
Minor Salivary Gland                       ,144,2889,4668,56200,1318,82,13,1383,93,0,0.456213223,0.028383524,0.004499827,0.478712357,0.03219107,0,NA,NA
Muscle - Skeletal                          ,706,10257,13131,56200,3722,103,49,5889,481,13,0.362874135,0.010041923,0.004777225,0.574144487,0.046894804,0.001267427,264,2387
Nerve - Tibial                             ,532,13118,16597,56200,3252,116,39,9067,635,9,0.247903644,0.008842811,0.002973014,0.691187681,0.048406769,0.00068608,326,3812
Ovary                                      ,167,3284,5316,56200,1543,68,13,1551,109,0,0.469853837,0.020706456,0.003958587,0.47228989,0.03319123,0,43,469
Pancreas                                   ,305,6440,9324,56200,2132,103,18,3847,336,4,0.331055901,0.015993789,0.002795031,0.597360248,0.052173913,0.000621118,102,1270
Pituitary                                  ,237,5587,8806,56200,2002,109,25,3214,236,1,0.358331842,0.019509576,0.004474673,0.575264006,0.042240916,0.000178987,61,732
Prostate                                   ,221,4735,7100,56200,1876,93,10,2541,215,0,0.396198522,0.019640971,0.002111932,0.536642027,0.045406547,0,54,474
Skin - Not Sun Exposed (Suprapubic)        ,517,11403,15008,56200,3788,119,41,6983,464,8,0.332193282,0.01043585,0.003595545,0.612382706,0.040691046,0.00070157,177,1961
Skin - Sun Exposed (Lower leg)             ,605,13045,16423,56200,3774,123,62,8478,605,3,0.289306248,0.0094289,0.004752779,0.649904178,0.046377923,0.000229973,330,3273
Small Intestine - Terminal Ileum           ,174,4317,6483,56200,1969,131,16,1992,206,3,0.456103776,0.030345147,0.003706278,0.46143155,0.047718323,0.000694927,39,434
Spleen                                     ,227,7315,10413,56200,2797,132,29,4028,324,5,0.382365003,0.018045113,0.003964457,0.550649351,0.04429255,0.000683527,68,825
Stomach                                    ,324,5950,8520,56200,2185,109,28,3306,317,5,0.367226891,0.018319328,0.004705882,0.555630252,0.053277311,0.000840336,107,1153
Testis                                     ,322,12867,18184,56200,3634,159,23,8543,505,3,0.282427916,0.012357193,0.001787518,0.66394653,0.039247688,0.000233155,267,3896
Thyroid                                    ,574,13224,16932,56200,3642,138,43,8688,707,6,0.275408348,0.010435572,0.003251664,0.656987296,0.0534634,0.000453721,376,3894
Uterus                                     ,129,2047,3422,56200,841,40,2,1069,95,0,0.410845139,0.019540791,0.00097704,0.52222765,0.04640938,0,25,287
Vagina                                     ,141,2251,3607,56200,1039,73,14,1030,95,0,0.461572634,0.032430031,0.006219458,0.457574411,0.042203465,0,25,248
Whole Blood                                ,670,8823,11847,56200 ,3084,113,52,4979,588,7,0.349540972,0.012807435,0.005893687,0.564320526,0.066643999,0.000793381,281,2274
