ID,Gender,Twin,Age,GSE53195_ID,GSE56105_ID
GSM1286314, F, DZ,12,bsgs_93,I157
GSM1286315, M, DZ,12,bsgs_94,I190
GSM1286316, M, DZ,12,bsgs_95,I040
GSM1286317, M, DZ,13,bsgs_96,I377
GSM1286318, M, DZ,13,bsgs_97,I140
GSM1286319, F,0,46,bsgs_98,I290
GSM1286320, F,0,43,bsgs_100,I170
GSM1286321, M,0,46,bsgs_101,I143
GSM1286322, M, DZ,12,bsgs_102,I486
GSM1286323, M, DZ,14,bsgs_103,I326
GSM1286324, F, DZ,14,bsgs_104,I354
GSM1286325, M,0,16,bsgs_106,I407
GSM1286326, M,0,46,bsgs_107,I460
GSM1286327, M, DZ,14,bsgs_108,I609
GSM1286328, F,0,46,bsgs_109,I216
GSM1286329, F,0,45,bsgs_110,I071
GSM1286330, M, DZ,14,bsgs_111,I410
GSM1286331, F,0,19,bsgs_112,I292
GSM1286332, M,0,45,bsgs_113,I185
GSM1286333, F,0,45,bsgs_114,I399
GSM1286334, F, DZ,12,bsgs_115,I571
GSM1286335, M,0,48,bsgs_116,I062
GSM1286336, F, MZ,12,bsgs_118,I252
GSM1286337, F, DZ,14,bsgs_119,I151
GSM1286338, F,0,49,bsgs_120,I300
GSM1286339, F, DZ,14,bsgs_121,I310
GSM1286340, M,0,16,bsgs_122,I414
GSM1286341, M, MZ,16,bsgs_123,I530
GSM1286342, F,0,44,bsgs_124,I370
GSM1286343, F, DZ,17,bsgs_125,I278
GSM1286344, F,0,16,bsgs_126,I417
GSM1286345, M, DZ,14,bsgs_127,I472
GSM1286346, M,0,48,bsgs_128,I182
GSM1286347, M, DZ,14,bsgs_130,I359
GSM1286348, F, MZ,12,bsgs_131,I433
GSM1286349, F, DZ,14,bsgs_132,I253
GSM1286350, F, DZ,10,bsgs_133,I439
GSM1286351, M,0,11,bsgs_134,I563
GSM1286352, M, DZ,14,bsgs_135,I243
GSM1286353, M,0,51,bsgs_136,I327
GSM1286354, M, DZ,14,bsgs_137,I416
GSM1286355, M, DZ,17,bsgs_138,I183
GSM1286356, F, MZ,12,bsgs_139,I440
GSM1286357, M,0,11,bsgs_141,I137
GSM1286358, F,0,47,bsgs_142,I403
GSM1286359, F, DZ,14,bsgs_143,I325
GSM1286360, F,0,14,bsgs_144,I008
GSM1286361, M,0,55,bsgs_145,I165
GSM1286362, M, DZ,10,bsgs_146,I266
GSM1286363, M,0,49,bsgs_147,I152
GSM1286364, M, DZ,14,bsgs_148,I244
GSM1286365, M,0,46,bsgs_149,I101
GSM1286366, M, MZ,16,bsgs_150,I144
GSM1286367, M,0,46,bsgs_151,I141
GSM1286368, F, MZ,12,bsgs_153,I233
GSM1286369, M, DZ,14,bsgs_154,I536
GSM1286370, F, DZ,12,bsgs_155,I464
GSM1286371, F,0,12,bsgs_156,I506
GSM1286372, F,0,42,bsgs_157,I391
GSM1286373, F,0,41,bsgs_158,I173
GSM1286374, M, MZ,13,bsgs_159,I022
GSM1286375, M, DZ,14,bsgs_160,I119
GSM1286376, F,0,49,bsgs_161,I073
GSM1286377, F, MZ,17,bsgs_162,I012
GSM1286378, M, MZ,16,bsgs_163,I560
GSM1286379, F,0,48,bsgs_165,I382
GSM1286380, F, DZ,12,bsgs_166,I265
GSM1286381, M,0,45,bsgs_167,I481
GSM1286382, F,0,52,bsgs_168,I411
GSM1286383, F,0,47,bsgs_169,I114
GSM1286384, M,0,50,bsgs_170,I224
GSM1286385, F,0,49,bsgs_171,I315
GSM1286386, M, MZ,13,bsgs_172,I423
GSM1286387, M, DZ,14,bsgs_173,I186
GSM1286388, F,0,20,bsgs_174,I355
GSM1286389, F,0,43,bsgs_176,I385
GSM1286390, F,0,46,bsgs_177,I227
GSM1286391, M, DZ,17,bsgs_178,I043
GSM1286392, F,0,57,bsgs_179,I069
GSM1286393, F, MZ,12,bsgs_180,I203
GSM1286394, M,0,46,bsgs_181,I442
GSM1286395, F,0,37,bsgs_182,I604
GSM1286396, F,0,49,bsgs_183,I045
GSM1286397, F, DZ,12,bsgs_184,I443
GSM1286398, F, DZ,12,bsgs_185,I163
GSM1286399, F, DZ,12,bsgs_186,I286
GSM1286400, F, DZ,14,bsgs_188,I461
GSM1286401, M, DZ,12,bsgs_189,I343
GSM1286402, F,0,17,bsgs_190,I111
GSM1286403, M, DZ,12,bsgs_191,I404
GSM1286404, F,0,45,bsgs_192,I516
GSM1286405, M, DZ,12,bsgs_193,I057
GSM1286406, M,0,51,bsgs_194,I076
GSM1286407, F, DZ,12,bsgs_195,I187
GSM1286408, M,0,51,bsgs_196,I475
GSM1286409, F,0,18,bsgs_197,I166
GSM1286410, F,0,11,bsgs_201,I412
GSM1286411, F,0,17,bsgs_202,I284
GSM1286412, F,0,18,bsgs_204,I006
GSM1286413, M,0,18,bsgs_205,I268
GSM1286414, M, DZ,17,bsgs_206,I148
GSM1286415, M,0,48,bsgs_207,I495
GSM1286416, M, DZ,14,bsgs_208,I444
GSM1286417, F,0,14,bsgs_209,I340
GSM1286418, F,0,44,bsgs_210,I375
GSM1286419, F, DZ,12,bsgs_212,I480
GSM1286420, F,0,18,bsgs_213,I049
GSM1286421, F,0,16,bsgs_214,I083
GSM1286422, M, MZ,16,bsgs_216,I257
GSM1286423, M, DZ,14,bsgs_217,I197
GSM1286424, F, MZ,17,bsgs_218,I425
GSM1286425, M,0,45,bsgs_219,I009
GSM1286426, M,0,60,bsgs_220,I282
GSM1286427, M,0,47,bsgs_221,I575
GSM1286428, F, DZ,13,bsgs_222,I606
GSM1286429, M,0,52,bsgs_224,I474
GSM1286430, M,0,38,bsgs_225,I540
GSM1286431, M,0,52,bsgs_226,I188
GSM1286432, M,0,46,bsgs_228,I379
GSM1286433, F,0,41,bsgs_229,I098
GSM1286434, F, MZ,12,bsgs_230,I485
GSM1286435, M, DZ,12,bsgs_231,I595
GSM1286436, M, DZ,14,bsgs_232,I231
GSM1286437, F, DZ,12,bsgs_233,I466
GSM1286438, M, MZ,14,bsgs_234,I510
GSM1286439, M, MZ,16,bsgs_235,I217
GSM1286440, M, DZ,13,bsgs_236,I541
GSM1286441, M,0,48,bsgs_238,I289
GSM1286442, M, DZ,12,bsgs_240,I016
GSM1286443, F, DZ,13,bsgs_241,I316
GSM1286444, F,0,40,bsgs_242,I566
GSM1286445, M,0,50,bsgs_243,I285
GSM1286446, F, MZ,12,bsgs_244,I125
GSM1286447, F,0,15,bsgs_245,I013
GSM1286448, M,0,11,bsgs_246,I431
GSM1286449, M, DZ,12,bsgs_247,I449
GSM1286450, M, MZ,14,bsgs_248,I583
GSM1286451, M,0,46,bsgs_250,I149
GSM1286452, F, DZ,13,bsgs_251,I562
GSM1286453, M,0,58,bsgs_252,I230
GSM1286454, M,0,41,bsgs_253,I024
GSM1286455, M, DZ,13,bsgs_254,I128
GSM1286456, F,0,11,bsgs_255,I521
GSM1286457, F, DZ,12,bsgs_256,I306
GSM1286458, F,0,13,bsgs_257,I317
GSM1286459, M, MZ,12,bsgs_258,I089
GSM1286460, F, MZ,14,bsgs_259,I094
GSM1286461, M, DZ,12,bsgs_260,I067
GSM1286462, F, DZ,14,bsgs_262,I389
GSM1286463, F,0,43,bsgs_263,I018
GSM1286464, M,0,16,bsgs_264,I279
GSM1286465, F,0,43,bsgs_265,I454
GSM1286466, M, DZ,12,bsgs_267,I601
GSM1286467, F,0,14,bsgs_268,I195
GSM1286468, F, DZ,12,bsgs_269,I179
GSM1286469, F, DZ,12,bsgs_270,I028
GSM1286470, M,0,10,bsgs_271,I035
GSM1286471, M, MZ,12,bsgs_272,I543
GSM1286472, F, MZ,14,bsgs_274,I210
GSM1286473, M,0,14,bsgs_275,I135
GSM1286474, F, DZ,14,bsgs_276,I294
GSM1286475, M, MZ,16,bsgs_277,I313
GSM1286476, F, DZ,12,bsgs_278,I341
GSM1286477, F,0,50,bsgs_279,I047
GSM1286478, F,0,49,bsgs_280,I113
GSM1286479, F, DZ,12,bsgs_281,I124
GSM1286480, M, DZ,12,bsgs_282,I213
GSM1286481, F,0,14,bsgs_283,I095
GSM1286482, M,0,39,bsgs_284,I501
GSM1286483, F, DZ,13,bsgs_287,I178
GSM1286484, F,0,43,bsgs_289,I208
GSM1286485, F,0,15,bsgs_290,I115
GSM1286486, M,0,17,bsgs_292,I042
GSM1286487, F,0,19,bsgs_294,I390
GSM1286488, M, DZ,12,bsgs_295,I402
GSM1286489, M,0,55,bsgs_296,I339
GSM1286490, M,0,52,bsgs_297,I054
GSM1286491, F,0,16,bsgs_299,I587
GSM1286492, F,0,37,bsgs_301,I413
GSM1286493, M, DZ,12,bsgs_302,I590
GSM1286494, M, DZ,12,bsgs_303,I264
GSM1286495, F, DZ,13,bsgs_304,I270
GSM1286496, F,0,19,bsgs_305,I330
GSM1286497, M,0,10,bsgs_306,I507
GSM1286498, F,0,19,bsgs_307,I221
GSM1286499, F, MZ,16,bsgs_308,I259
GSM1286500, M,0,40,bsgs_309,I167
GSM1286501, M,0,55,bsgs_310,I409
GSM1286502, F, DZ,12,bsgs_311,I579
GSM1286503, F,0,18,bsgs_312,I324
GSM1286504, M, DZ,12,bsgs_313,I031
GSM1286505, M, DZ,12,bsgs_314,I126
GSM1286506, F, DZ,12,bsgs_315,I551
GSM1286507, F,0,16,bsgs_316,I427
GSM1286508, F,0,47,bsgs_317,I075
GSM1286509, F, MZ,12,bsgs_318,I106
GSM1286510, M, DZ,14,bsgs_319,I365
GSM1286511, M, DZ,14,bsgs_320,I251
GSM1286512, M, DZ,12,bsgs_321,I463
GSM1286513, M, DZ,12,bsgs_322,I333
GSM1286514, M, DZ,14,bsgs_323,I437
GSM1286515, M,0,14,bsgs_324,I533
GSM1286516, M, DZ,14,bsgs_325,I146
GSM1286517, M, DZ,12,bsgs_326,I445
GSM1286518, F, DZ,14,bsgs_327,I099
GSM1286519, F,0,10,bsgs_328,I044
GSM1286520, M,0,17,bsgs_329,I361
GSM1286521, M, DZ,13,bsgs_331,I453
GSM1286522, M, DZ,17,bsgs_332,I136
GSM1286523, F, DZ,14,bsgs_334,I255
GSM1286524, M,0,14,bsgs_335,I610
GSM1286525, F, DZ,12,bsgs_337,I201
GSM1286526, F,0,16,bsgs_338,I578
GSM1286527, F, MZ,12,bsgs_339,I602
GSM1286528, F, DZ,14,bsgs_340,I297
GSM1286529, F,0,17,bsgs_341,I020
GSM1286530, M, DZ,16,bsgs_342,I600
GSM1286531, M,0,46,bsgs_343,I271
GSM1286532, M, MZ,16,bsgs_346,I085
GSM1286533, M, DZ,13,bsgs_347,I055
GSM1286534, M,0,52,bsgs_349,I150
GSM1286535, M, MZ,12,bsgs_351,I269
GSM1286536, M, MZ,12,bsgs_352,I342
GSM1286537, F,0,45,bsgs_353,I568
GSM1286538, F, MZ,12,bsgs_354,I457
GSM1286539, F, DZ,14,bsgs_355,I594
GSM1286540, F, MZ,12,bsgs_356,I172
GSM1286541, F, DZ,16,bsgs_357,I572
GSM1286542, F,0,50,bsgs_358,I019
GSM1286543, M, MZ,16,bsgs_359,I455
GSM1286544, M,0,15,bsgs_361,I080
GSM1286545, F,0,48,bsgs_362,I097
GSM1286546, F, DZ,12,bsgs_363,I198
GSM1286547, M, MZ,12,bsgs_364,I522
GSM1286548, M, MZ,12,bsgs_365,I352
GSM1286549, M,0,10,bsgs_366,I082
GSM1286550, M,0,15,bsgs_367,I081
GSM1286551, M,0,17,bsgs_369,I120
GSM1286552, F, MZ,12,bsgs_370,I132
GSM1286553, F,0,52,bsgs_371,I205
GSM1286554, F, DZ,12,bsgs_373,I102
GSM1286555, F, DZ,17,bsgs_374,I050
GSM1286556, M, MZ,12,bsgs_375,I169
GSM1286557, M,0,16,bsgs_376,I218
GSM1286558, M,0,10,bsgs_377,I488
GSM1286559, F,0,17,bsgs_378,I228
GSM1286560, M, DZ,12,bsgs_379,I118
GSM1286561, M, DZ,14,bsgs_381,I174
GSM1286562, M,0,15,bsgs_382,I245
GSM1286563, M, DZ,14,bsgs_386,I123
GSM1286564, M, DZ,12,bsgs_387,I517
GSM1286565, M, DZ,16,bsgs_388,I593
GSM1286566, M,0,11,bsgs_389,I194
GSM1286567, M,0,50,bsgs_391,I544
GSM1286568, M,0,11,bsgs_392,I204
GSM1286569, M, DZ,16,bsgs_394,I214
GSM1286570, F, DZ,12,bsgs_395,I240
GSM1286571, M, DZ,14,bsgs_397,I569
GSM1286572, F, DZ,12,bsgs_398,I222
GSM1286573, M, DZ,14,bsgs_399,I086
GSM1286574, F, DZ,12,bsgs_403,I576
GSM1286575, F, DZ,14,bsgs_404,I276
GSM1286576, F,0,14,bsgs_407,I275
GSM1286577, M,0,18,bsgs_408,I422
GSM1286580, M, DZ,17,bsgs_409,I064
GSM1286582, M, DZ,12,bsgs_410,I487
GSM1286584, F, MZ,17,bsgs_411,I072
GSM1286586, F,0,41,bsgs_418,I158
GSM1286588, F, MZ,14,bsgs_419,I546
GSM1286590, F,0,14,bsgs_420,I299
GSM1286591, M, DZ,14,bsgs_422,I074
GSM1286592, M, MZ,12,bsgs_424,I084
GSM1286593, M,0,44,bsgs_426,I580
GSM1286594, M,0,13,bsgs_430,I236
GSM1286595, M,0,53,bsgs_431,I070
GSM1286596, F, DZ,12,bsgs_432,I196
GSM1286597, M, DZ,17,bsgs_434,I160
GSM1286598, M, MZ,12,bsgs_435,I191
GSM1286599, M, DZ,16,bsgs_436,I162
GSM1286600, F, DZ,12,bsgs_438,I459
GSM1286601, M,0,44,bsgs_439,I234
GSM1286602, M,0,10,bsgs_441,I048
GSM1286603, M,0,17,bsgs_442,I005
GSM1286604, M, MZ,12,bsgs_446,I351
GSM1286605, M, DZ,14,bsgs_447,I321
GSM1286606, M, DZ,12,bsgs_451,I567
GSM1286607, F, DZ,16,bsgs_453,I242
GSM1286608, F, DZ,13,bsgs_454,I347
GSM1286609, F,0,54,bsgs_455,I207
GSM1286610, M,0,11,bsgs_456,I068
GSM1286611, F, DZ,16,bsgs_457,I360
GSM1286612, F, DZ,13,bsgs_458,I153
GSM1286613, F, MZ,12,bsgs_459,I133
GSM1286614, F, DZ,12,bsgs_463,I362
GSM1286615, F, DZ,12,bsgs_464,I419
GSM1286616, F, DZ,13,bsgs_465,I200
GSM1286617, M, DZ,12,bsgs_470,I426
GSM1286618, M, MZ,12,bsgs_472,I206
GSM1286619, M, DZ,12,bsgs_475,I539
GSM1286620, F, DZ,12,bsgs_476,I322
GSM1286621, F, DZ,12,bsgs_477,I430
GSM1286622, F,0,46,bsgs_479,I605
GSM1286623, F, DZ,12,bsgs_481,I400
GSM1286624, M, DZ,12,bsgs_482,I491
GSM1286625, F, MZ,12,bsgs_484,I079
GSM1286626, M, MZ,12,bsgs_486,I398
GSM1286627, M, DZ,12,bsgs_487,I002
GSM1286628, F, DZ,12,bsgs_491,I058
GSM1286629, F,0,49,bsgs_493,I154
GSM1286630, M, MZ,12,bsgs_494,I131
GSM1286631, M, DZ,12,bsgs_496,I503
GSM1286632, F, DZ,15,bsgs_498,I542
GSM1286633, M, DZ,12,bsgs_499,I497
GSM1286634, M, DZ,14,bsgs_500,I397
GSM1286635, F, DZ,12,bsgs_503,I468
GSM1286636, F, DZ,12,bsgs_505,I108
GSM1286637, F, DZ,12,bsgs_510,I318
GSM1286638, M, MZ,12,bsgs_511,I121
GSM1286639, F,0,44,bsgs_512,I589
GSM1286640, F, DZ,12,bsgs_514,I504
GSM1286641, M, MZ,12,bsgs_516,I291
GSM1286642, M, MZ,12,bsgs_517,I598
GSM1286643, F, DZ,12,bsgs_522,I033
GSM1286644, M, DZ,15,bsgs_523,I558
GSM1286645, F, DZ,12,bsgs_528,I378
GSM1286646, M, DZ,14,bsgs_529,I014
GSM1286647, M, DZ,12,bsgs_531,I512
GSM1286648, M, DZ,12,bsgs_533,I381
GSM1286649, F, MZ,12,bsgs_535,I296
GSM1286650, M, DZ,12,bsgs_537,I223
GSM1286651, M, DZ,12,bsgs_538,I056
GSM1286652, F, DZ,12,bsgs_539,I017
GSM1286653, F, DZ,12,bsgs_541,I311
GSM1286654, M, DZ,12,bsgs_542,I142
GSM1286655, M, DZ,12,bsgs_543,I155
GSM1286656, M, DZ,14,bsgs_544,I260
GSM1286657, F, MZ,12,bsgs_546,I336
GSM1286658, F, DZ,14,bsgs_547,I396
GSM1286659, M, DZ,12,bsgs_549,I547
GSM1286660, M, DZ,12,bsgs_551,I603
GSM1286661, F, DZ,12,bsgs_553,I534
GSM1286662, F, DZ,12,bsgs_554,I061
GSM1286663, M, DZ,12,bsgs_555,I281
GSM1286664, F, DZ,12,bsgs_556,I328
GSM1286665, M, DZ,12,bsgs_562,I490
GSM1286666, M, MZ,12,bsgs_563,I502
GSM1286667, M, DZ,12,bsgs_564,I103
GSM1286668, M, DZ,14,bsgs_565,I565
GSM1286669, F, MZ,12,bsgs_566,I274
GSM1286670, F,0,51,bsgs_567,I374
GSM1286671, M, DZ,12,bsgs_568,I508
GSM1286672, M, DZ,13,bsgs_569,I509
GSM1286673, F, MZ,17,bsgs_570,I524
GSM1286674, M, DZ,12,bsgs_572,I367
GSM1286675, M, DZ,13,bsgs_575,I356
GSM1286676, M, DZ,12,bsgs_576,I180
GSM1286677, F, DZ,12,bsgs_578,I434
GSM1286678, M,0,14,bsgs_579,I484
GSM1286679, M, DZ,12,bsgs_581,I570
GSM1286680, M, DZ,15,bsgs_583,I277
GSM1286681, M, DZ,12,bsgs_584,I499
GSM1286682, F, DZ,14,bsgs_585,I496
GSM1286683, F,0,44,bsgs_586,I408
GSM1286684, M, DZ,13,bsgs_587,I004
GSM1286685, F,0,48,bsgs_588,I319
GSM1286686, M,0,19,bsgs_589,I476
GSM1286687, F, DZ,12,bsgs_590,I161
GSM1286688, M, DZ,14,bsgs_591,I582
GSM1286689, F, MZ,12,bsgs_592,I383
GSM1286690, M, DZ,13,bsgs_593,I597
GSM1286691, F, DZ,12,bsgs_595,I335
GSM1286692, M, DZ,12,bsgs_596,I592
GSM1286693, F, DZ,13,bsgs_598,I559
GSM1286694, F, MZ,12,bsgs_599,I376
GSM1286695, M, DZ,12,bsgs_600,I573
GSM1286696, F, DZ,12,bsgs_601,I596
GSM1286697, M, DZ,12,bsgs_602,I482
GSM1286698, F, DZ,15,bsgs_603,I401
GSM1286699, M, DZ,12,bsgs_604,I373
GSM1286700, M, DZ,17,bsgs_605,I027
GSM1286701, M, MZ,16,bsgs_608,I258
GSM1286702, M, DZ,14,bsgs_609,I053
GSM1286703, F, DZ,16,bsgs_613,I023
GSM1286704, M, DZ,16,bsgs_614,I015
GSM1286705, M, DZ,14,bsgs_616,I613
GSM1286706, F, DZ,17,bsgs_617,I176
GSM1286707, M, DZ,16,bsgs_620,I424
GSM1286708, F,0,47,bsgs_625,I557
GSM1286709, M, DZ,16,bsgs_626,I175
GSM1286710, M, MZ,16,bsgs_627,I462
GSM1286711, M, DZ,16,bsgs_628,I010
GSM1286712, M, MZ,12,bsgs_629,I548
GSM1286713, M, MZ,16,bsgs_631,I607
GSM1286714, M, DZ,14,bsgs_633,I303
GSM1286715, F, MZ,16,bsgs_636,I545
GSM1286716, F, DZ,14,bsgs_637,I523
GSM1286717, M, DZ,14,bsgs_640,I591
GSM1286718, M,0,43,bsgs_643,I451
GSM1286719, F, DZ,16,bsgs_644,I556
GSM1286720, F, DZ,16,bsgs_646,I171
GSM1286721, M, DZ,17,bsgs_647,I091
GSM1286722, M,0,18,bsgs_648,I528
GSM1286723, F, DZ,16,bsgs_649,I301
GSM1286724, F, DZ,12,bsgs_651,I477
GSM1286725, M,0,20,bsgs_652,I209
GSM1286726, M, DZ,14,bsgs_653,I211
GSM1286727, F, MZ,16,bsgs_655,I288
GSM1286728, F, DZ,14,bsgs_657,I039
GSM1286729, M,0,50,bsgs_658,I134
GSM1286730, F, DZ,17,bsgs_659,I478
