GSE53195_ID GSE56105_ID
bsgs_541 I311
bsgs_542 I142
bsgs_543 I155
bsgs_544 I260
bsgs_546 I336
bsgs_547 I396
bsgs_549 I547
bsgs_551 I603
bsgs_553 I534
bsgs_554 I061
bsgs_555 I281
bsgs_556 I328
bsgs_562 I490
bsgs_563 I502
bsgs_564 I103
bsgs_565 I565
bsgs_566 I274
bsgs_567 I374
bsgs_568 I508
bsgs_569 I509
bsgs_570 I524
bsgs_572 I367
bsgs_575 I356
bsgs_576 I180
bsgs_578 I434
bsgs_579 I484
bsgs_581 I570
bsgs_583 I277
bsgs_584 I499
bsgs_585 I496
bsgs_586 I408
bsgs_587 I004
bsgs_588 I319
bsgs_589 I476
bsgs_590 I161
bsgs_591 I582
bsgs_592 I383
bsgs_593 I597
bsgs_595 I335
bsgs_596 I592
bsgs_598 I559
bsgs_599 I376
bsgs_600 I573
bsgs_601 I596
bsgs_602 I482
bsgs_603 I401
bsgs_604 I373
bsgs_605 I027
bsgs_608 I258
bsgs_609 I053
bsgs_613 I023
bsgs_614 I015
bsgs_616 I613
bsgs_617 I176
bsgs_620 I424
bsgs_625 I557
bsgs_626 I175
bsgs_627 I462
bsgs_628 I010
bsgs_629 I548
bsgs_631 I607
bsgs_633 I303
bsgs_636 I545
bsgs_637 I523
bsgs_640 I591
bsgs_643 I451
bsgs_644 I556
bsgs_646 I171
bsgs_647 I091
bsgs_648 I528
bsgs_649 I301
bsgs_651 I477
bsgs_652 I209
bsgs_653 I211
bsgs_655 I288
bsgs_657 I039
bsgs_658 I134
bsgs_659 I478
bsgs_661 I248
bsgs_662 I239
bsgs_664 I353
bsgs_666 I093
bsgs_667 I145
bsgs_668 I181
bsgs_670 I250
bsgs_671 I087
bsgs_673 I309
bsgs_674 I139
bsgs_676 I448
bsgs_678 I193
bsgs_679 I238
bsgs_682 I323
bsgs_683 I060
bsgs_685 I372
bsgs_686 I032
bsgs_687 I090
bsgs_688 I420
bsgs_689 I305
bsgs_690 I295
bsgs_691 I272
bsgs_693 I549
bsgs_695 I117
bsgs_697 I514
bsgs_698 I489
bsgs_699 I584
bsgs_701 I447
bsgs_702 I366
bsgs_703 I127
bsgs_705 I498
bsgs_707 I345
bsgs_709 I483
bsgs_710 I611
bsgs_711 I267
bsgs_714 I471
bsgs_715 I036
bsgs_716 I001
bsgs_717 I586
bsgs_719 I574
bsgs_722 I577
bsgs_723 I394
bsgs_725 I246
bsgs_726 I564
bsgs_728 I581
bsgs_729 I063
bsgs_732 I479
bsgs_733 I129
bsgs_734 I338
bsgs_736 I138
bsgs_737 I046
bsgs_738 I110
bsgs_739 I189
bsgs_740 I599
bsgs_741 I037
bsgs_742 I515
bsgs_743 I386
bsgs_744 I307
bsgs_747 I241
bsgs_748 I247
bsgs_750 I332
bsgs_751 I025
bsgs_752 I041
bsgs_753 I104
bsgs_754 I388
bsgs_756 I493
bsgs_758 I494
bsgs_759 I441
bsgs_760 I314
bsgs_761 I531
bsgs_763 I105
bsgs_764 I561
bsgs_767 I273
bsgs_769 I215
bsgs_771 I436
bsgs_774 I380
bsgs_775 I011
bsgs_776 I429
bsgs_778 I369
bsgs_780 I293
bsgs_782 I329
bsgs_783 I334
bsgs_784 I312
bsgs_785 I088
bsgs_786 I229
bsgs_787 I588
bsgs_788 I473
bsgs_789 I520
bsgs_791 I612
bsgs_792 I249
bsgs_793 I406
bsgs_795 I262
bsgs_796 I435
bsgs_797 I168
bsgs_799 I446
bsgs_801 I550
bsgs_804 I220
bsgs_806 I554
bsgs_808 I219
bsgs_810 I537
bsgs_814 I526
bsgs_815 I363
bsgs_818 I030
bsgs_820 I320
bsgs_821 I202
bsgs_822 I452
bsgs_823 I505
bsgs_825 I199
bsgs_827 I614
bsgs_837 I100
bsgs_839 I415
bsgs_851 I470
