"","Tissue","Sample.Size","Num.of.Trios","M0","M1.1","M1.2","M2","M3","M4","Other","Per.M0","Per.M1.1","Per.M1.2","Per.M2","Per.M3","Per.M4","Per.Other"
"21","CellsCulturedfibroblasts",483,4032,1585,14,39,3,2337,30,24,0.393105158730159,0.00347222222222222,0.00967261904761905,0.000744047619047619,0.579613095238095,0.00744047619047619,0.00595238095238095
"22","CellsEBVtransformedlymphocytes",147,1270,513,6,13,1,721,15,1,0.403937007874016,0.0047244094488189,0.0102362204724409,0.00078740157480315,0.567716535433071,0.0118110236220472,0.00078740157480315
"23","ColonSigmoid",318,2514,1004,9,37,2,1420,36,6,0.399363564041368,0.0035799522673031,0.0147175815433572,0.000795544948289578,0.564836913285601,0.0143198090692124,0.00238663484486874
"24","ColonTransverse",368,2518,984,11,40,4,1432,38,9,0.390786338363781,0.00436854646544877,0.0158856235107228,0.00158856235107228,0.568705321683876,0.0150913423351867,0.00357426528991263
"25","EsophagusGastroesophagealJunction",330,2484,974,7,46,10,1402,36,9,0.392109500805153,0.00281803542673108,0.0185185185185185,0.00402576489533011,0.564412238325282,0.0144927536231884,0.0036231884057971
"26","EsophagusMucosa",497,3540,1291,12,36,2,2139,45,15,0.364689265536723,0.00338983050847458,0.0101694915254237,0.000564971751412429,0.604237288135593,0.0127118644067797,0.00423728813559322
"27","EsophagusMuscularis",465,3428,1351,10,29,2,1987,38,11,0.394107351225204,0.0029171528588098,0.00845974329054842,0.00058343057176196,0.579638273045508,0.0110851808634772,0.00320886814469078
"28","HeartAtrialAppendage",372,2561,1032,6,38,1,1442,34,8,0.40296759078485,0.00234283483014447,0.0148379539242483,0.000390472471690746,0.563061304178055,0.0132760640374854,0.00312377977352597
"29","HeartLeftVentricle",386,2289,957,13,14,0,1267,33,5,0.418086500655308,0.00567933595456531,0.00611620795107034,0,0.553516819571865,0.0144167758846658,0.00218435998252512
"30","Liver",208,1294,595,11,23,1,639,20,5,0.459814528593509,0.00850077279752705,0.017774343122102,0.000772797527047913,0.493817619783617,0.0154559505409583,0.00386398763523957
"31","Lung",515,3239,943,8,32,1,2196,54,5,0.291139240506329,0.00246989811670269,0.00987959246681074,0.000308737264587836,0.677987033034887,0.0166718122877431,0.00154368632293918
"32","MinorSalivaryGland",144,1047,552,6,20,0,463,5,1,0.527220630372493,0.00573065902578797,0.0191021967526266,0,0.442215854823305,0.00477554918815664,0.000955109837631328
"33","MuscleSkeletal",706,3120,1454,4,36,3,1552,36,35,0.466025641025641,0.00128205128205128,0.0115384615384615,0.000961538461538462,0.497435897435897,0.0115384615384615,0.0112179487179487
"34","NerveTibial",532,4118,1118,14,37,0,2871,58,20,0.271491015055852,0.00339970859640602,0.00898494414764449,0,0.697183098591549,0.0140845070422535,0.00485672656629432
"35","Ovary",167,1142,574,7,14,1,531,10,5,0.502626970227671,0.00612959719789842,0.0122591943957968,0.000875656742556918,0.464973730297723,0.00875656742556918,0.00437828371278459
"36","Pancreas",305,2268,778,12,25,2,1410,39,2,0.343033509700176,0.00529100529100529,0.0110229276895944,0.000881834215167548,0.621693121693122,0.0171957671957672,0.000881834215167548
"37","Pituitary",237,2019,785,4,22,1,1177,28,2,0.388806339772164,0.00198117880138683,0.0108964834076275,0.000495294700346706,0.582961862308073,0.0138682516097078,0.000990589400693413
"38","Prostate",221,1574,688,4,21,1,843,10,7,0.43710292249047,0.00254129606099111,0.0133418043202033,0.000635324015247776,0.535578144853875,0.00635324015247776,0.00444726810673443
"39","SkinNotSunExposed",517,3375,1170,15,27,3,2095,42,23,0.346666666666667,0.00444444444444444,0.008,0.000888888888888889,0.620740740740741,0.0124444444444444,0.00681481481481482
"40","SkinSunExposed",605,3941,1254,7,38,2,2568,61,11,0.318193351941132,0.00177619893428064,0.0096422227860949,0.000507485409794468,0.651611266176097,0.0154783049987313,0.00279116975386958
"41","SmallIntestine",174,1487,719,5,24,0,715,20,4,0.483523873570948,0.00336247478143914,0.0161398789509079,0,0.480833893745797,0.0134498991257566,0.00268997982515131
"42","Spleen",227,2764,1210,12,32,1,1467,30,12,0.437771345875543,0.00434153400868307,0.0115774240231548,0.000361794500723589,0.530752532561505,0.0108538350217077,0.00434153400868307
"43","Stomach",324,1970,779,7,25,1,1113,40,5,0.395431472081218,0.00355329949238579,0.0126903553299492,0.00050761421319797,0.56497461928934,0.0203045685279188,0.00253807106598985
"44","Testis",322,3494,1100,9,31,3,2308,32,11,0.314825414997138,0.00257584430452204,0.0088723526044648,0.000858614768174013,0.66056096164854,0.00915855752718947,0.00314825414997138
"45","Thyroid",574,4668,1511,9,39,3,3028,62,16,0.32369323050557,0.0019280205655527,0.0083547557840617,0.0006426735218509,0.648671808054841,0.0132819194515853,0.00342759211653813
"46","Uterus",129,716,311,4,7,0,382,10,2,0.434357541899441,0.00558659217877095,0.00977653631284916,0,0.533519553072626,0.0139664804469274,0.00279329608938547
"47","Vagina",141,842,441,4,23,1,358,14,1,0.52375296912114,0.00475059382422803,0.0273159144893112,0.00118764845605701,0.425178147268409,0.0166270783847981,0.00118764845605701
"48","WholeBlood",670,3248,1282,9,41,3,1815,72,26,0.394704433497537,0.00277093596059113,0.0126231527093596,0.000923645320197044,0.558805418719212,0.0221674876847291,0.00800492610837438
