Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2719543,"genomic DNA from breast tissue 84","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719543/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719544,"genomic DNA from breast tissue 78","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719544/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719545,"genomic DNA from breast tissue 86","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719545/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719546,"genomic DNA from breast tissue 79","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719546/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719547,"genomic DNA from breast tissue 87","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719547/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719548,"genomic DNA from breast tissue 80","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719548/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719549,"genomic DNA from breast tissue 88","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719549/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719550,"genomic DNA from breast tissue 101","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719550/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719551,"genomic DNA from breast tissue 111","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719551/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719552,"genomic DNA from breast tissue 117","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719552/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719553,"genomic DNA from breast tissue 113","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719553/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719554,"genomic DNA from breast tissue 2","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719554/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719555,"genomic DNA from breast tissue 1","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719555/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719556,"genomic DNA from breast tissue 3","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719556/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719557,"genomic DNA from breast tissue 18","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719557/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719558,"genomic DNA from breast tissue 44","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719558/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719559,"genomic DNA from breast tissue 29","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719559/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719560,"genomic DNA from breast tissue 16","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719560/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719561,"genomic DNA from breast tissue 94","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719561/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719562,"genomic DNA from breast tissue 92","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719562/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719563,"genomic DNA from breast tissue 85","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719563/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719564,"genomic DNA from breast tissue 119","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719564/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719565,"genomic DNA from breast tissue 34","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719565/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719566,"genomic DNA from breast tissue 73","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719566/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719567,"genomic DNA from breast tissue 120","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719567/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719568,"genomic DNA from breast tissue 26","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719568/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719569,"genomic DNA from breast tissue 47","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719569/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719570,"genomic DNA from breast tissue 96","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719570/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719571,"genomic DNA from breast tissue 72","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719571/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719572,"genomic DNA from breast tissue 62","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719572/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719573,"genomic DNA from breast tissue 68","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719573/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719574,"genomic DNA from breast tissue 53","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719574/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719575,"genomic DNA from breast tissue 40","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719575/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719576,"genomic DNA from breast tissue 118","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719576/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719577,"genomic DNA from breast tissue 27","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719577/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719578,"genomic DNA from breast tissue 25","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719578/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719579,"genomic DNA from breast tissue 67","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719579/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719580,"genomic DNA from breast tissue 33","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719580/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719581,"genomic DNA from breast tissue 69","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719581/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719582,"genomic DNA from breast tissue 100","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719582/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719583,"genomic DNA from breast tissue 56","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719583/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719584,"genomic DNA from breast tissue 54","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719584/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719585,"genomic DNA from breast tissue 91","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719585/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719586,"genomic DNA from breast tissue 8","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719586/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719587,"genomic DNA from breast tissue 61","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719587/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719588,"genomic DNA from breast tissue 66","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719588/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719589,"genomic DNA from breast tissue 12","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719589/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719590,"genomic DNA from breast tissue 89","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719590/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719591,"genomic DNA from breast tissue 49","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719591/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719592,"genomic DNA from breast tissue 17","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719592/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719593,"genomic DNA from breast tissue 4","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719593/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719594,"genomic DNA from breast tissue 42","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719594/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719595,"genomic DNA from breast tissue 46","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719595/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719596,"genomic DNA from breast tissue 50","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719596/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719597,"genomic DNA from breast tissue 31","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719597/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719598,"genomic DNA from breast tissue 103","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719598/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719599,"genomic DNA from breast tissue 65","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719599/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719600,"genomic DNA from breast tissue 115","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719600/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719601,"genomic DNA from breast tissue 7","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719601/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719602,"genomic DNA from breast tissue 98","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719602/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719603,"genomic DNA from breast tissue 60","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719603/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719604,"genomic DNA from breast tissue 52","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719604/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719605,"genomic DNA from breast tissue 57","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719605/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719606,"genomic DNA from breast tissue 43","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719606/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719607,"genomic DNA from breast tissue 97","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719607/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719608,"genomic DNA from breast tissue 45","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719608/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719609,"genomic DNA from breast tissue 32","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719609/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719610,"genomic DNA from breast tissue 38","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719610/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719611,"genomic DNA from breast tissue 105","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719611/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719612,"genomic DNA from breast tissue 23","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719612/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719613,"genomic DNA from breast tissue 99","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719613/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719614,"genomic DNA from breast tissue 28","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719614/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719615,"genomic DNA from breast tissue 48","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719615/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719616,"genomic DNA from breast tissue 63","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719616/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719617,"genomic DNA from breast tissue 24","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719617/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719618,"genomic DNA from breast tissue 11","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719618/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719619,"genomic DNA from breast tissue 35","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719619/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719620,"genomic DNA from breast tissue 5","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719620/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719621,"genomic DNA from breast tissue 64","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719621/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719622,"genomic DNA from breast tissue 90","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719622/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719623,"genomic DNA from breast tissue 58","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719623/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719624,"genomic DNA from breast tissue 51","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719624/suppl",,"Daniel Yui Weng","Jul 28, 2017"
GSM2719625,"genomic DNA from breast tissue 121","genomic","Homo sapiens",1,GPL13534,GSE101961,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2719nnn/GSM2719625/suppl",,"Daniel Yui Weng","Jul 28, 2017"
