Methyl_Probe_ID	SNP_ID	Cor
cg07573872	SNP_1287122_chr_1	0.027163
cg07573912	SNP_1287122_chr_1	0.00127
cg07573936	SNP_1287122_chr_1	-0.018838
cg07573937	SNP_1287122_chr_1	0.012695
cg07573965	SNP_1287122_chr_1	0.036389
cg08319294	SNP_1287122_chr_1	-0.020693
cg08319312	SNP_1287122_chr_1	0.023081
cg08319332	SNP_1287122_chr_1	-0.071498
cg08319412	SNP_1287122_chr_1	0.071813
cg08319417	SNP_1287122_chr_1	0.01097
cg08319422	SNP_1287122_chr_1	-0.114589
cg08319778	SNP_1287122_chr_1	-0.036577
cg08319905	SNP_1287122_chr_1	0.041816
cg08319922	SNP_1287122_chr_1	-0.028721
cg08319936	SNP_1287122_chr_1	0.003142
cg08319974	SNP_1287122_chr_1	-0.003788
cg08319991	SNP_1287122_chr_1	-0.008726
cg08319999	SNP_1287122_chr_1	-0.025796
cg08320014	SNP_1287122_chr_1	-0.047062
cg08320059	SNP_1287122_chr_1	-0.095741
cg08320122	SNP_1287122_chr_1	-0.056101
cg08320164	SNP_1287122_chr_1	-0.015068
cg08320225	SNP_1287122_chr_1	-0.025174
cg08320303	SNP_1287122_chr_1	-0.04113
cg08544746	SNP_1287122_chr_1	0.006136
cg08544841	SNP_1287122_chr_1	0.017776
cg08545123	SNP_1287122_chr_1	0.04314
cg08545129	SNP_1287122_chr_1	0.004842
cg08545132	SNP_1287122_chr_1	-0.037401
cg08545136	SNP_1287122_chr_1	-0.031087
cg08545169	SNP_1287122_chr_1	-0.000765
cg08545213	SNP_1287122_chr_1	-0.082842
cg08545268	SNP_1287122_chr_1	-0.04461
cg08545287	SNP_1287122_chr_1	-0.053377
cg08545312	SNP_1287122_chr_1	0.028792
cg08851607	SNP_1287122_chr_1	-0.006384
cg08851719	SNP_1287122_chr_1	-0.01941
cg08851723	SNP_1287122_chr_1	-0.004922
cg08851727	SNP_1287122_chr_1	0.003784
cg08851782	SNP_1287122_chr_1	0.0291
cg08851784	SNP_1287122_chr_1	-0.028633
cg08851837	SNP_1287122_chr_1	-0.001858
cg08851840	SNP_1287122_chr_1	-0.031433
cg08851851	SNP_1287122_chr_1	0.02485
cg08851943	SNP_1287122_chr_1	0.003661
cg08852033	SNP_1287122_chr_1	-0.106466
cg09023739	SNP_3296707_chr_1	-0.030232
cg09023743	SNP_3296707_chr_1	-0.005352
cg09023800	SNP_3296707_chr_1	0.039843
cg09023820	SNP_3296707_chr_1	0.03809
cg09023840	SNP_3296707_chr_1	0.015974
cg09023869	SNP_3296707_chr_1	-0.000452
cg09023965	SNP_3296707_chr_1	0.012781
cg09024023	SNP_3296707_chr_1	-0.006983
cg09024089	SNP_3296707_chr_1	0.054454
cg09024124	SNP_3296707_chr_1	-0.006095
cg09024126	SNP_3296707_chr_1	0.02768
cg09024228	SNP_3296707_chr_1	-0.00306
cg09024340	SNP_3296707_chr_1	-0.022885
cg09024430	SNP_3296707_chr_1	0.065298
cg09024435	SNP_3296707_chr_1	-0.002436
cg09024606	SNP_3296707_chr_1	0.003465
cg09024791	SNP_3296707_chr_1	0.05003
cg09024808	SNP_3296707_chr_1	0.029869
cg09024810	SNP_3296707_chr_1	-0.045808
cg09024920	SNP_3296707_chr_1	-0.001902
cg09024962	SNP_3296707_chr_1	-0.034122
cg09025040	SNP_3296707_chr_1	-0.057975
cg09025071	SNP_3296707_chr_1	0.009123
cg09228831	SNP_1287122_chr_1	0.054945
cg09228833	SNP_1287122_chr_1	-0.046567
cg09228878	SNP_1287122_chr_1	0.022765
cg09228949	SNP_1287122_chr_1	-0.064753
cg09228988	SNP_1287122_chr_1	0.011726
cg09229061	SNP_1287122_chr_1	-0.021866
cg09229169	SNP_1287122_chr_1	0.072675
cg09229181	SNP_1287122_chr_1	-0.067701
cg09229231	SNP_1287122_chr_1	-0.002743
cg09229246	SNP_1287122_chr_1	-0.024505
cg09229487	SNP_1287122_chr_1	-0.00846
cg09229492	SNP_1287122_chr_1	-0.035398
cg09458595	SNP_1287122_chr_1	-0.027567
cg09458618	SNP_1287122_chr_1	0.075375
cg09458673	SNP_1287122_chr_1	-0.061924
cg09458820	SNP_1287122_chr_1	-0.018209
cg09458931	SNP_1287122_chr_1	-0.051339
cg09458940	SNP_1287122_chr_1	-0.011631
cg09458956	SNP_1287122_chr_1	-0.076526
cg09459044	SNP_1287122_chr_1	-0.04048
cg09459146	SNP_1287122_chr_1	-0.020326
cg09459188	SNP_1287122_chr_1	0.111002
cg09459272	SNP_1287122_chr_1	0.00903
cg09459280	SNP_1287122_chr_1	-0.021525
cg09459291	SNP_1287122_chr_1	0.048702
cg09459339	SNP_1287122_chr_1	-0.028468
cg09459499	SNP_1287122_chr_1	-0.064913
cg09459529	SNP_1287122_chr_1	0.017405
cg09459548	SNP_1287122_chr_1	0.029424
cg09459561	SNP_1287122_chr_1	0.016885
cg09459581	SNP_1287122_chr_1	-0.005153
cg09459714	SNP_1287122_chr_1	0.000919
cg09459719	SNP_1287122_chr_1	-0.008401
cg09459758	SNP_1287122_chr_1	-0.005866
cg09459774	SNP_1287122_chr_1	-0.023075
cg09459868	SNP_1287122_chr_1	-0.023968
cg09459955	SNP_1287122_chr_1	0.066861
cg09459982	SNP_1287122_chr_1	0.016064
cg09460082	SNP_1287122_chr_1	-0.030973
cg09460159	SNP_1287122_chr_1	-0.013191
cg09460229	SNP_1287122_chr_1	-0.075278
cg09460231	SNP_1287122_chr_1	0.006792
cg09460345	SNP_1287122_chr_1	0.020406
cg09460356	SNP_1287122_chr_1	-0.020971
cg09460369	SNP_1287122_chr_1	0.011416
cg10484756	SNP_1287122_chr_1	0.015621
cg10484958	SNP_1287122_chr_1	0.021619
cg10484965	SNP_1287122_chr_1	-0.026738
cg10484990	SNP_1287122_chr_1	0.029506
cg10485000	SNP_1287122_chr_1	-0.046354
cg10485192	SNP_1287122_chr_1	0.056515
cg10485243	SNP_1287122_chr_1	-0.020213
cg10485278	SNP_1287122_chr_1	-0.041906
cg10485411	SNP_1287122_chr_1	0.0147
cg10485447	SNP_1287122_chr_1	-0.044248
cg10485466	SNP_1287122_chr_1	0.059017
cg10485472	SNP_1287122_chr_1	-0.045278
cg10485485	SNP_1287122_chr_1	-0.004907
cg10633463	SNP_1287122_chr_1	-0.023758
cg10633479	SNP_1287122_chr_1	-0.022898
cg10633491	SNP_1287122_chr_1	-0.001753
cg10633526	SNP_1287122_chr_1	-0.063729
cg10633576	SNP_1287122_chr_1	-0.002473
cg10633601	SNP_1287122_chr_1	-0.001748
cg10633609	SNP_1287122_chr_1	0.025657
cg10633619	SNP_1287122_chr_1	-0.000596
cg10633658	SNP_1287122_chr_1	-0.036411
cg10633664	SNP_1287122_chr_1	-0.050325
cg10633686	SNP_1287122_chr_1	-0.033281
cg10633746	SNP_1287122_chr_1	-0.020133
cg10633827	SNP_1287122_chr_1	-0.006899
cg10633838	SNP_1287122_chr_1	0.019458
cg10633906	SNP_1287122_chr_1	0.016093
cg10633958	SNP_1287122_chr_1	-0.03594
cg10633966	SNP_1287122_chr_1	-0.053988
cg10640833	SNP_1287122_chr_1	-0.0814
cg10640845	SNP_1287122_chr_1	-0.09938
cg10640944	SNP_1287122_chr_1	-0.00857
cg10640961	SNP_1287122_chr_1	-0.02081
cg10641018	SNP_1287122_chr_1	-0.003999
cg11902458	SNP_1287122_chr_1	-0.018392
cg11902539	SNP_1287122_chr_1	0.074768
cg11902543	SNP_1287122_chr_1	0.020029
cg11902554	SNP_1287122_chr_1	-0.034348
cg11920453	SNP_428936_chr_1	-0.027474
cg11920519	SNP_428936_chr_1	0.040103
cg11920576	SNP_428936_chr_1	0.023663
cg11920592	SNP_428936_chr_1	0.044927
cg11920737	SNP_428936_chr_1	0.029715
cg11920745	SNP_428936_chr_1	0.011967
cg11920765	SNP_428936_chr_1	-0.038323
cg11920943	SNP_428936_chr_1	-0.031181
cg11921048	SNP_428936_chr_1	-0.043264
cg11921111	SNP_428936_chr_1	0.010649
cg11921270	SNP_428936_chr_1	-0.008015
cg11921411	SNP_428936_chr_1	0.025668
cg11921473	SNP_428936_chr_1	-0.057418
cg11921538	SNP_428936_chr_1	0.037065
cg11921539	SNP_428936_chr_1	0.041449
cg11921736	SNP_428936_chr_1	0.015702
cg13147090	SNP_3296707_chr_1	0.003581
cg13147246	SNP_3296707_chr_1	-0.008046
cg14524403	SNP_428936_chr_1	0.038132
cg14524476	SNP_428936_chr_1	0.015362
cg14524553	SNP_428936_chr_1	0.018169
cg14524643	SNP_428936_chr_1	0.00135
cg15203770	SNP_1287122_chr_1	-0.03711
cg15203777	SNP_1287122_chr_1	0.068406
cg15203817	SNP_1287122_chr_1	-0.100116
cg15203833	SNP_1287122_chr_1	0.051485
cg15203905	SNP_1287122_chr_1	-0.013231
cg15204036	SNP_1287122_chr_1	0.032103
cg15204119	SNP_1287122_chr_1	-0.078756
cg15204286	SNP_1287122_chr_1	-0.065827
cg15204354	SNP_1287122_chr_1	-0.043895
cg15204594	SNP_1287122_chr_1	-0.003422
cg15204595	SNP_1287122_chr_1	0.002173
cg15204608	SNP_1287122_chr_1	-0.005661
cg15204645	SNP_1287122_chr_1	-0.04637
cg15204740	SNP_1287122_chr_1	-0.011999
cg15204816	SNP_1287122_chr_1	0.014754
cg15204861	SNP_1287122_chr_1	0.004693
cg15204874	SNP_1287122_chr_1	-0.028387
cg16157615	SNP_3296707_chr_1	-0.065692
cg16157821	SNP_3296707_chr_1	-0.009583
cg16157895	SNP_3296707_chr_1	-0.023549
cg16157980	SNP_3296707_chr_1	-0.048033
cg16158027	SNP_3296707_chr_1	0.045539
cg16158045	SNP_3296707_chr_1	0.048926
cg16158077	SNP_3296707_chr_1	0.071413
cg16158220	SNP_3296707_chr_1	-0.075128
cg16158296	SNP_3296707_chr_1	0.021237
cg16158407	SNP_3296707_chr_1	-0.045927
cg16158484	SNP_3296707_chr_1	0.038819
cg16158575	SNP_3296707_chr_1	-0.027906
cg16158641	SNP_3296707_chr_1	0.035771
cg16158681	SNP_3296707_chr_1	0.023219
cg16158779	SNP_3296707_chr_1	-0.016474
cg16158807	SNP_3296707_chr_1	0.029718
cg16158843	SNP_3296707_chr_1	-0.019824
cg16443812	SNP_1287122_chr_1	-0.034482
cg16443866	SNP_1287122_chr_1	-0.072408
cg16443926	SNP_1287122_chr_1	0.000878
cg16443939	SNP_1287122_chr_1	-0.07724
cg16443954	SNP_1287122_chr_1	-0.011298
cg16443970	SNP_1287122_chr_1	0.038626
cg16443977	SNP_1287122_chr_1	-0.005503
cg16444001	SNP_1287122_chr_1	-0.029919
cg16444062	SNP_1287122_chr_1	-0.058887
cg16444103	SNP_1287122_chr_1	-0.00333
cg16444117	SNP_1287122_chr_1	0.016985
cg16444126	SNP_1287122_chr_1	-0.001125
cg16444198	SNP_1287122_chr_1	0.016878
cg16863212	SNP_3296707_chr_1	-0.026208
cg16863294	SNP_3296707_chr_1	-0.035889
cg16863332	SNP_3296707_chr_1	0.009865
cg16863382	SNP_3296707_chr_1	-0.053096
cg16863447	SNP_3296707_chr_1	0.062504
cg16863522	SNP_3296707_chr_1	-0.01887
cg16863617	SNP_3296707_chr_1	-0.048843
cg16863634	SNP_3296707_chr_1	0.008126
cg16863673	SNP_3296707_chr_1	-0.02095
cg16863718	SNP_3296707_chr_1	0.019936
cg16863783	SNP_3296707_chr_1	-0.037591
cg16863795	SNP_3296707_chr_1	0.034595
cg16863796	SNP_3296707_chr_1	-0.001435
cg16863829	SNP_3296707_chr_1	0.015219
cg16863872	SNP_3296707_chr_1	0.046357
cg16863990	SNP_3296707_chr_1	0.002114
cg17108958	SNP_1287122_chr_1	-0.029733
cg17108971	SNP_1287122_chr_1	0.016367
cg17108996	SNP_1287122_chr_1	0.016859
cg17109036	SNP_1287122_chr_1	-0.010479
cg17109042	SNP_1287122_chr_1	0.040187
cg17109049	SNP_1287122_chr_1	-0.038775
cg17109175	SNP_1287122_chr_1	-0.038171
cg17109273	SNP_1287122_chr_1	-0.083827
cg17109283	SNP_1287122_chr_1	0.026453
cg17109374	SNP_1287122_chr_1	0.010523
cg17109441	SNP_1287122_chr_1	0.025474
cg17109461	SNP_1287122_chr_1	-0.034391
cg17109517	SNP_1287122_chr_1	-0.001996
cg17109533	SNP_1287122_chr_1	0.033556
cg17109601	SNP_1287122_chr_1	-0.036502
cg17109704	SNP_1287122_chr_1	-0.0162
cg17109725	SNP_1287122_chr_1	0.020786
cg17452499	SNP_3296707_chr_1	0.011026
cg17452570	SNP_3296707_chr_1	0.065838
cg17452615	SNP_3296707_chr_1	0.019597
cg17452625	SNP_3296707_chr_1	-0.018831
cg17452691	SNP_3296707_chr_1	-0.012525
cg17452713	SNP_3296707_chr_1	-0.036952
cg17452880	SNP_3296707_chr_1	0.069875
cg17453187	SNP_3296707_chr_1	-0.030902
cg17453250	SNP_3296707_chr_1	-0.017183
cg17453252	SNP_3296707_chr_1	0.005203
cg17453359	SNP_3296707_chr_1	-0.066976
cg17453374	SNP_3296707_chr_1	0.002169
cg17453386	SNP_3296707_chr_1	0.005627
cg17453416	SNP_3296707_chr_1	-0.025025
cg17453433	SNP_3296707_chr_1	-0.019483
cg17453456	SNP_3296707_chr_1	-0.007733
cg17453460	SNP_3296707_chr_1	0.021187
cg17453603	SNP_3296707_chr_1	0.056266
cg17453671	SNP_3296707_chr_1	0.003017
cg17453767	SNP_3296707_chr_1	-0.041202
cg17453778	SNP_3296707_chr_1	0.010711
cg17453840	SNP_3296707_chr_1	0.029613
cg17453961	SNP_3296707_chr_1	-0.023956
cg17454083	SNP_3296707_chr_1	-0.010924
cg17454094	SNP_3296707_chr_1	-0.004849
cg17454234	SNP_3296707_chr_1	-0.011454
cg17454263	SNP_3296707_chr_1	-0.029104
cg18361975	SNP_1287122_chr_1	-0.016579
cg18362003	SNP_1287122_chr_1	-0.004447
cg18362281	SNP_1287122_chr_1	0.005611
cg18362330	SNP_1287122_chr_1	0.017523
cg18362429	SNP_1287122_chr_1	-0.029026
cg18362448	SNP_1287122_chr_1	-0.054164
cg18362489	SNP_1287122_chr_1	-0.048454
cg18362495	SNP_1287122_chr_1	-0.023449
cg18362496	SNP_1287122_chr_1	-0.0191
cg18362509	SNP_1287122_chr_1	-0.055761
cg18362538	SNP_1287122_chr_1	0.01926
cg18362770	SNP_1287122_chr_1	-0.072739
cg18362897	SNP_1287122_chr_1	-0.05163
cg18362936	SNP_1287122_chr_1	-0.010701
cg18363008	SNP_1287122_chr_1	0.021421
cg18363035	SNP_1287122_chr_1	0.011425
cg18363143	SNP_1287122_chr_1	-0.008649
cg18363192	SNP_1287122_chr_1	-0.063503
cg18363267	SNP_1287122_chr_1	-0.056048
cg18363268	SNP_1287122_chr_1	-0.042312
cg18363417	SNP_1287122_chr_1	0.015338
cg18363538	SNP_1287122_chr_1	-0.047152
cg18363568	SNP_1287122_chr_1	0.013115
cg18363668	SNP_1287122_chr_1	-0.04336
cg18363761	SNP_1287122_chr_1	-0.047378
cg18363763	SNP_1287122_chr_1	0.05118
cg18363911	SNP_1287122_chr_1	-0.01922
cg18363918	SNP_1287122_chr_1	-0.024112
cg19336577	SNP_1287122_chr_1	0.004236
cg19336811	SNP_1287122_chr_1	-0.031047
cg19336959	SNP_1287122_chr_1	-0.044861
cg19337180	SNP_1287122_chr_1	-0.013195
cg19337241	SNP_1287122_chr_1	0.003826
cg19337279	SNP_1287122_chr_1	-0.030673
cg19337295	SNP_1287122_chr_1	-0.075218
cg19337324	SNP_1287122_chr_1	0.026029
cg19337413	SNP_1287122_chr_1	0.004679
cg19337593	SNP_1287122_chr_1	-0.018472
cg19337651	SNP_1287122_chr_1	0.019033
cg19337732	SNP_1287122_chr_1	0.02034
cg19337854	SNP_1287122_chr_1	0.025201
cg19338056	SNP_1287122_chr_1	0.023457
cg20785796	SNP_1287122_chr_1	-0.032727
cg20786058	SNP_1287122_chr_1	0.020155
cg20786061	SNP_1287122_chr_1	-0.050778
cg20786074	SNP_1287122_chr_1	-0.032151
cg20786131	SNP_1287122_chr_1	0.00786
cg20786173	SNP_1287122_chr_1	0.056762
cg20786221	SNP_1287122_chr_1	-0.042181
cg20786246	SNP_1287122_chr_1	0.00314
cg20786367	SNP_1287122_chr_1	-0.024254
cg20786418	SNP_1287122_chr_1	-0.005772
cg20786489	SNP_1287122_chr_1	0.025655
cg20786495	SNP_1287122_chr_1	0.055072
cg20786513	SNP_1287122_chr_1	-0.055061
cg20786514	SNP_1287122_chr_1	-0.024723
cg20786524	SNP_1287122_chr_1	-0.034264
cg20786557	SNP_1287122_chr_1	-0.033774
cg20786730	SNP_1287122_chr_1	0.099825
cg20985269	SNP_1287122_chr_1	-0.01557
cg20985399	SNP_1287122_chr_1	0.008073
cg20985450	SNP_1287122_chr_1	-0.00887
cg20985453	SNP_1287122_chr_1	-0.032002
cg20985479	SNP_1287122_chr_1	0.016701
cg20985486	SNP_1287122_chr_1	-0.043765
cg20985521	SNP_1287122_chr_1	-0.026955
cg20985560	SNP_1287122_chr_1	-0.071603
cg20985587	SNP_1287122_chr_1	-0.054596
cg20985617	SNP_1287122_chr_1	-0.012896
cg20985635	SNP_1287122_chr_1	-0.031995
cg20985755	SNP_1287122_chr_1	-0.013201
