,Donor_ID,Cell_Line_Num,Donor_Cell_Type,Reprogram_Method,Sex,Replicate_Num,Diff_Capacity,GSE59091_Sample_ID
112, 700,: 89, endothelial precursor, retorviral, male,3, high  ,GSM1427259
113, 700,: 89, endothelial precursor, retorviral, male,5, high  ,GSM1427260
114, 700,: 47, dermal fibroblast, retorviral, male,1, high  ,GSM1427261
115, 700,: 47, dermal fibroblast, retorviral, male,2, high  ,GSM1427262
116, 700,: 47, dermal fibroblast, retorviral, male,3, high  ,GSM1427263
117, 700,: 47, dermal fibroblast, retorviral, male,4, high  ,GSM1427264
118, 700,: 47, dermal fibroblast, retorviral, male,5, high  ,GSM1427265
119, 700,: 47, dermal fibroblast, retorviral, male,6, high  ,GSM1427266
120, 700,: 59, endothelial progenitor, retorviral, male,1, high  ,GSM1427267
121, 700,: 59, endothelial progenitor, retorviral, male,2, high  ,GSM1427268
122, 700,: 59, endothelial progenitor, retorviral, male,3, high  ,GSM1427269
123, 700,: 59, endothelial progenitor, retorviral, male,4, high  ,GSM1427270
124, 700,: 59, endothelial progenitor, retorviral, male,5, high  ,GSM1427271
125, 700,: 59, endothelial progenitor, retorviral, male,6, high  ,GSM1427272
126, 700,: 54, endothelial progenitor, Sendai virus, male,1, high  ,GSM1427273
127, 700,: 54, endothelial progenitor, Sendai virus, male,2, high  ,GSM1427274
128, 700,: 54, endothelial progenitor, Sendai virus, male,3, high  ,GSM1427275
129, 700,: 54, endothelial progenitor, Sendai virus, male,4, high  ,GSM1427276
130, 700,: 54, endothelial progenitor, Sendai virus, male,5, high  ,GSM1427277
131, 700,: 54, endothelial progenitor, Sendai virus, male,6, high  ,GSM1427278
132, 700,: 62, dermal fibroblast, Sendai virus, male,1, high  ,GSM1427279
133, 700,: 62, dermal fibroblast, Sendai virus, male,2, high  ,GSM1427280
134, 700,: 62, dermal fibroblast, Sendai virus, male,3, high  ,GSM1427281
135, 700,: 62, dermal fibroblast, Sendai virus, male,4, high  ,GSM1427282
136, 700,: 62, dermal fibroblast, Sendai virus, male,5, high  ,GSM1427283
137, H9,: NA, embryonic stem cell, NA, female,1, high  ,GSM1427284
138, H9,: NA, embryonic stem cell, NA, female,2, high  ,GSM1427285
139, H9,: NA, embryonic stem cell, NA, female,4, high  ,GSM1427286
140, H9,: NA, embryonic stem cell, NA, female,5, high  ,GSM1427287
141, H9,: NA, embryonic stem cell, NA, female,6, high  ,GSM1427288
142, 832,: 44, foreskin fibroblast, retorviral, male,1, high  ,GSM1427289
143, 832,: 44, foreskin fibroblast, retorviral, male,2, high  ,GSM1427290
144, 832,: 44, foreskin fibroblast, retorviral, male,3, high  ,GSM1427291
145, 832,: 44, foreskin fibroblast, retorviral, male,4, high  ,GSM1427292
146, 832,: 44, foreskin fibroblast, retorviral, male,5, high  ,GSM1427293
147, 832,: 44, foreskin fibroblast, retorviral, male,6, high  ,GSM1427294
148, 367,: 32, dermal fibroblast, retorviral, male,1, high  ,GSM1427295
149, 367,: 32, dermal fibroblast, retorviral, male,2, high  ,GSM1427296
150, 367,: 32, dermal fibroblast, retorviral, male,3, high  ,GSM1427297
151, 367,: 32, dermal fibroblast, retorviral, male,4, high  ,GSM1427298
152, 367,: 32, dermal fibroblast, retorviral, male,5, high  ,GSM1427299
153, 367,: 32, dermal fibroblast, retorviral, male,6, high  ,GSM1427300
154, 230,: NA, dermal fibroblast, NA, female,1, NA  ,GSM1427301
155, 230,: NA, dermal fibroblast, NA, female,2, NA  ,GSM1427302
156, 230,: NA, dermal fibroblast, NA, female,3, NA  ,GSM1427303
157, 230,: NA, dermal fibroblast, NA, female,4, NA  ,GSM1427304
158, 230,: NA, dermal fibroblast, NA, female,5, NA  ,GSM1427305
159, 230,: NA, dermal fibroblast, NA, female,6, NA  ,GSM1427306
160, 230,: NA, endothelial precursor, NA, female,1, NA  ,GSM1427307
161, 230,: NA, endothelial precursor, NA, female,2, NA  ,GSM1427308
162, 230,: NA, endothelial precursor, NA, female,3, NA  ,GSM1427309
163, 230,: NA, endothelial precursor, NA, female,4, NA  ,GSM1427310
164, 230,: NA, endothelial precursor, NA, female,5, NA  ,GSM1427311
165, 263,: NA, dermal fibroblast, NA, female,1, NA  ,GSM1427312
166, 263,: NA, dermal fibroblast, NA, female,2, NA  ,GSM1427313
167, 263,: NA, dermal fibroblast, NA, female,3, NA  ,GSM1427314
168, 263,: NA, dermal fibroblast, NA, female,4, NA  ,GSM1427315
169, 263,: NA, dermal fibroblast, NA, female,5, NA  ,GSM1427316
170, 852,: NA, dermal fibroblast, NA, female,1, NA  ,GSM1427317
171, 852,: NA, dermal fibroblast, NA, female,2, NA  ,GSM1427318
172, 852,: NA, dermal fibroblast, NA, female,3, NA  ,GSM1427319
173, 852,: NA, dermal fibroblast, NA, female,4, NA  ,GSM1427320
174, 852,: NA, dermal fibroblast, NA, female,5, NA  ,GSM1427321
175, 627,: NA, dermal fibroblast, NA, female,2, NA  ,GSM1427322
176, 627,: NA, dermal fibroblast, NA, female,3, NA  ,GSM1427323
177, 700,: NA, dermal fibroblast, NA, male,1, NA  ,GSM1427324
178, 700,: NA, dermal fibroblast, NA, male,2, NA  ,GSM1427325
179, 700,: NA, dermal fibroblast, NA, male,3, NA  ,GSM1427326
180, 700,: NA, dermal fibroblast, NA, male,4, NA  ,GSM1427327
181, 700,: NA, dermal fibroblast, NA, male,5, NA  ,GSM1427328
182, 832,: NA, foreskin fibroblast, NA, male,1, NA  ,GSM1427329
183, 832,: NA, foreskin fibroblast, NA, male,2, NA  ,GSM1427330
184, 832,: NA, foreskin fibroblast, NA, male,3, NA  ,GSM1427331
185, 832,: NA, foreskin fibroblast, NA, male,4, NA  ,GSM1427332
186, 832,: NA, foreskin fibroblast, NA, male,5, NA  ,GSM1427333
187, 832,: NA, foreskin fibroblast, NA, male,6, NA  ,GSM1427334
188, 447,: 39, dermal fibroblast, episomal, male,1, LDC  ,GSM1427335
189, 685,: 68, erythroblast, Sendai virus, female,1, LDC  ,GSM1427336
190, 283,: 79, dermal fibroblast, episomal, male,1, HDC  ,GSM1427337
191, 983,: 15, dermal fibroblast, episomal, female,1, HDC  ,GSM1427338
192, 447,: 64, erythroblast, Sendai virus, male,1, HDC  ,GSM1427339
193, 283,: 78, erythroblast, Sendai virus, male,1, HDC  ,GSM1427340
194, 844,: 53, erythroblast, Sendai virus, male,1, HDC  ,GSM1427341
