Tissue name,Tissue sample size,Num.Trios.tested,Num.SNPs,Num.Genes,Num.M0,Num.M1,Num.M2,Num.M3,Num.M4,Num.Others,Per.MO,Per.M1,Per.M2,Per.M3,Per.M4,Per.Others,# M1 in GMAC (GTEx v6),# Trios tested in GMAC (GTEx v6)
Pituitary                                  ,237,5587,8806,56200,2002,109,25,3214,236,1,35.83%,1.95%,0.45%,57.53%,4.22%,0.02%,61,732
Prostate                                   ,221,4735,7100,56200,1876,93,10,2541,215,0,39.62%,1.96%,0.21%,53.66%,4.54%,0.00%,54,474
Skin - Not Sun Exposed (Suprapubic)        ,517,11403,15008,56200,3788,119,41,6983,464,8,33.22%,1.04%,0.36%,61.24%,4.07%,0.07%,177,1961
Skin - Sun Exposed (Lower leg)             ,605,13045,16423,56200,3774,123,62,8478,605,3,28.93%,0.94%,0.48%,64.99%,4.64%,0.02%,330,3273
Small Intestine - Terminal Ileum           ,174,4317,6483,56200,1969,131,16,1992,206,3,45.61%,3.03%,0.37%,46.14%,4.77%,0.07%,39,434
Spleen                                     ,227,7315,10413,56200,2797,132,29,4028,324,5,38.24%,1.80%,0.40%,55.06%,4.43%,0.07%,68,825
Stomach                                    ,324,5950,8520,56200,2185,109,28,3306,317,5,36.72%,1.83%,0.47%,55.56%,5.33%,0.08%,107,1153
Testis                                     ,322,12867,18184,56200,3634,159,23,8543,505,3,28.24%,1.24%,0.18%,66.39%,3.92%,0.02%,267,3896
Thyroid                                    ,574,13224,16932,56200,3642,138,43,8688,707,6,27.54%,1.04%,0.33%,65.70%,5.35%,0.05%,376,3894
Uterus                                     ,129,2047,3422,56200,841,40,2,1069,95,0,41.08%,1.95%,0.10%,52.22%,4.64%,0.00%,25,287
Vagina                                     ,141,2251,3607,56200,1039,73,14,1030,95,0,46.16%,3.24%,0.62%,45.76%,4.22%,0.00%,25,248
Whole Blood                                ,670,8823,11847,56200 ,3084,113,52,4979,588,7,34.95%,1.28%,0.59%,56.43%,6.66%,0.08%,281,2274
